TopicID	Topic	First_Level_Intent_ID	First_Level_Poss	Frist_Level_Content	First_Level_Subtopics (separated by commas)
101	シド	2	0.272727273	シド_シド・ヴィシャス	シド シド・ヴィシャス
101	シド	6	0.272727273	シド_バンド	シド 明希,シドのcd一覧,シドしんぢ,シド残り香,シド 音楽,シド マオ
101	シド	1	0.181818182	シド_黒執事	シド黒執事
101	シド	3	0.181818182	シド_FF	シド FF
101	シド	4	0.090909091	シド_トイストーリー	トイストーリーシド
102	ダム	5	0.333333333	ダム_貯水	ダム貯水率,ダム体積,ダム総貯水容量
102	ダム	2	0.222222222	ダム_徳山	ダム 徳山
102	ダム	3	0.222222222	ダム_宇連ダム	宇連ダム
102	ダム	7	0.222222222	ダム_所在地	ダム所在地
103	R	1	1	R_助け隊	助け隊r
104	ハヤブサ	1	0.333333333	ハヤブサ_時刻表	ハヤブサはやぶさ時刻表
104	ハヤブサ	2	0.222222222	ハヤブサ_バイク	ハヤブサ 激安,ハヤブサ GSX
104	ハヤブサ	3	0.222222222	ハヤブサ_鳥	ハヤブサ Falcon,ハヤブサ涙,河北潟でバードウォッチングハヤブサ
104	ハヤブサ	7	0.222222222	ハヤブサ_マスクマン	マスクマンハヤブサ
105	ナポレオン	1	0.428571429	ナポレオン_ヒル	ナポレオン ヒル
105	ナポレオン	2	0.285714286	ナポレオン_おのれナポレオン	おのれナポレオン
105	ナポレオン	3	0.285714286	ナポレオン_ポナパルト	ナポレオン文献,ナポレオン関係者,ナポレオン ボナパルト,ナポレオンが乗っていた馬
106	アバター	1	0.375	アバター_映画	アバタープロデューサー,アバター製作,アバター 上映,アバター監督
106	アバター	2	0.375	アバター_キャラ	アバター自作,アバターを配布,アバター 無料,アバター作り
106	アバター	3	0.125	アバター_橋本	アバター橋本
106	アバター	4	0.125	アバター_ゲーム	アバター アバターバトル,アバター ゲーム
107	ジップ	1	0.285714286	ジップ_ジップロック	ジップ 商品,ジップ ジップロック,ジップジップロック
107	ジップ	2	0.285714286	ジップ_アコーディオン	デニムアコーディオンジップ,レザーアコーディオンジップ
107	ジップ	3	0.285714286	ジップ_fm	ジップfm,ジップzip-fm
107	ジップ	4	0.142857143	ジップ_株式会社	ジップ 株式会社
108	ウォッカ	6	0.25	ウォッカ_競馬	ウォッカ競馬
108	ウォッカ	9	0.25	ウォッカ_カクテル	ウォッカ カクテル
108	ウォッカ	1	0.166666667	ウォッカ_Van	ウォッカ Van
108	ウォッカ	3	0.166666667	ウォッカ_ジン	ウォッカ ジン
108	ウォッカ	4	0.166666667	ウォッカ_ウォッカコリンズ	ウォッカコリンズ
109	横浜	4	0.3	横浜_そごう	横浜そごう
109	横浜	8	0.3	横浜_ららぽーと	ららぽーと横浜
109	横浜	1	0.2	横浜_fc	横浜fc
109	横浜	12	0.2	横浜_天気	横浜 天気
110	伝奇	1	0.272727273	伝奇_ボルヘス	ボルヘス伝奇
110	伝奇	2	0.181818182	伝奇_ベルセルク	番組剣風伝奇,伝奇 ベルセルク,伝奇サウンドトラック,伝奇三浦建太郎
110	伝奇	3	0.181818182	伝奇_伝奇匣	伝奇匣
110	伝奇	4	0.181818182	伝奇_少林寺伝奇	少林寺伝奇
110	伝奇	5	0.181818182	伝奇_アイテム	伝奇アイテム発売スケジュール
111	アドビ	10	0.333333333	アドビ_不正アクセス	アドビ不正アクセス
111	アドビ	1	0.222222222	アドビ_linux	アドビlinux対応
111	アドビ	3	0.222222222	アドビ_認定	アドビ認定試験,アドビ 認定,アドビ認定試験制度
111	アドビ	11	0.222222222	アドビ_iphone	アドビiphone向け
112	予言者	2	0.272727273	予言者_ジュセリーノ	予言者ジュセリーノとは何者
112	予言者	3	0.272727273	予言者_バラートクラーラ	予言者 バラートクラーラ,予言者 バラート・クラーラ
112	予言者	4	0.272727273	予言者_ジョンタイター	予言者ジョンタイター
112	予言者	1	0.181818182	予言者_ローラン	予言者 ローラン,予言者ローラン
113	オウル	1	0.5	オウル_英会話	オウル 英会話
113	オウル	5	0.333333333	オウル_空港	オウル空港
113	オウル	2	0.166666667	オウル_港	オウル港
114	赤とうがらし	4	0.3	赤とうがらし_エキス	赤とうがらしエキス
114	赤とうがらし	7	0.3	赤とうがらし_レシピ	赤とうがらし レシピ
114	赤とうがらし	3	0.2	赤とうがらし_キムチ	キムチ赤とうがらし
114	赤とうがらし	1	0.1	赤とうがらし_乾燥	赤とうがらしを乾燥
114	赤とうがらし	6	0.1	赤とうがらし_駒込	赤とうがらし駒込
115	銀シャリ	1	0.333333333	銀シャリ_コンビ	銀シャリコンビ,銀シャリ 視聴率,銀シャリ日記,ロケみつ銀シャリ,銀シャリ彼女,銀シャリ橋本直
115	銀シャリ	3	0.333333333	銀シャリ_ゲコ亭	銀シャリ ゲコ亭,銀シャリ屋ゲコ亭,銀シャリ屋げこ亭,銀シャリ 本舗
115	銀シャリ	4	0.333333333	銀シャリ_サトウ	銀シャリ サトウ
116	嵐	1	0.25	嵐_シングル	嵐ワンラブ,嵐ニューシングル
116	嵐	4	0.25	嵐_コンサート	嵐 コンサート
116	嵐	6	0.25	嵐_pv	嵐mステ,嵐pv視聴
116	嵐	2	0.166666667	嵐_ジャニーズネット	ジャニーズネット嵐
116	嵐	5	0.083333333	嵐_年譜	嵐年譜
117	フランクフルト	1	0.2	フランクフルト_日本人学校	フランクフルト日本人学校
117	フランクフルト	2	0.2	フランクフルト_ソーセージ	フランクフルト カロリー
117	フランクフルト	3	0.2	フランクフルト_ストライキ	フランクフルトストライキ
117	フランクフルト	7	0.2	フランクフルト_アイントラハト	アイントラハトフランクフルト
117	フランクフルト	8	0.2	フランクフルト_モーターショー	フランクフルト フランクフルトモーターショー
118	東方神起	5	0.272727273	東方神起_KpopStarz	東方神起 KpopStarz
118	東方神起	7	0.272727273	東方神起_イベント	東方神起 レポ,東方神起ファンクラブイベント,東方神起 チケット
118	東方神起	3	0.181818182	東方神起_作品	東方神起作品リスト,東方神起呪文歌詞,東方神起うた
118	東方神起	8	0.181818182	東方神起_cd	東方神起bolero初回限定版
118	東方神起	1	0.090909091	東方神起_投票	東方神起 投票
119	円形脱毛症	1	0.230769231	円形脱毛症_治療	円形脱毛症 治療
119	円形脱毛症	2	0.230769231	円形脱毛症_原因	円形脱毛症の兆候,円形脱毛症とストレス,円形脱毛症 原因
119	円形脱毛症	3	0.230769231	円形脱毛症_症例	円形脱毛症症例
119	円形脱毛症	4	0.153846154	円形脱毛症_女性	円形脱毛症 女性
119	円形脱毛症	7	0.153846154	円形脱毛症_隠す	円形脱毛症 かつら,円形脱毛症隠す
120	柿の葉すし	3	0.3	柿の葉すし_奈良	柿の葉すし 奈良,柿の葉すし 奈良県
120	柿の葉すし	6	0.3	柿の葉すし_さば	柿の葉すしさば
120	柿の葉すし	1	0.2	柿の葉すし_冷凍	柿の葉すし 冷凍
120	柿の葉すし	2	0.2	柿の葉すし_店	吉野地方の柿の葉すし,柿の葉すしヤマト,柿の葉すし柿の葉寿司平宗,大和特産の柿の葉すし,たなかの柿の葉すし
121	シャネル	4	0.3	シャネル_買取	シャネル 買取
121	シャネル	7	0.3	シャネル_ココ・シャネル	シャネル ココ・シャネル
121	シャネル	1	0.2	シャネル_レストラン	シャネルレストラン
121	シャネル	8	0.2	シャネル_商品	シャネルリップ,シャネル新作リング,シャネルデニムバッグ,シャネルスポーツラインショルダーバッグ,シャネルデニム
122	女子バレー	3	0.25	女子バレー_選手名	女子バレー 木村沙織,女子バレー宮下
122	女子バレー	4	0.25	女子バレー_選手	女子バレー 選手
122	女子バレー	5	0.25	女子バレー_試合	女子バレー五輪最終予選,女子バレー 全日本,女子バレー速報
122	女子バレー	6	0.166666667	女子バレー_vリーグ	女子バレーvリーグ
122	女子バレー	2	0.083333333	女子バレー_学校	女子バレー 学校,女子バレー全日本インカレ
123	TPP	6	0.272727273	TPP_メリット	tppメリット
123	TPP	1	0.181818182	TPP_政策	tpp政策
123	TPP	2	0.181818182	TPP_国	tppオーストラリア,tpp参加国,tppチリ
123	TPP	5	0.181818182	TPP_交渉	tpp交渉
123	TPP	7	0.181818182	TPP_外交	tpp外交
124	ドラえもん	1	0.25	ドラえもん_ミュージアム	ドラえもんミュージアム
124	ドラえもん	7	0.25	ドラえもん_映画	ドラえもん映画動画,ドラえもん映画主題歌,ドラえもん 映画
124	ドラえもん	4	0.166666667	ドラえもん_動画	ドラえもん 動画
124	ドラえもん	5	0.166666667	ドラえもん_ゲーム	ドラえもん DS,ドラえもん ゲーム,ドラえもんのび太のバイオハザード
124	ドラえもん	8	0.166666667	ドラえもん_野比のび太	ドラえもん野比のび太
125	ビートルズ	2	0.272727273	ビートルズ_マッカートニー	ビートルズ マッカートニー
125	ビートルズ	4	0.272727273	ビートルズ_バンド	ビートルズ バンド,ビートルズ来歴
125	ビートルズ	1	0.181818182	ビートルズ_曲	ビートルズプリーズプリーズミー,ビートルズサージェントペパーズロンリーハーツクラブバンド,ビートルズソウル,ビートルズレットイット,ラヴビートルズ
125	ビートルズ	5	0.181818182	ビートルズ_画像	ビートルズ画像
125	ビートルズ	3	0.090909091	ビートルズ_映像作品	ビートルズ映像作品,ビートルズ映像作品集
126	ボーカロイド	1	0.2	ボーカロイド_動画	ボーカロイド 動画
126	ボーカロイド	2	0.2	ボーカロイド_ガイドブック	ボーカロイド2オフィシャルガイドブック,ボーカロイドガイドブック
126	ボーカロイド	3	0.2	ボーカロイド_キャラクター（クリプトン）	ボーカロイド ミク,ボーカロイド鏡音リン鏡音レン,初音ミク鏡音リンレンボーカロイド,ボーカロイド3人目
126	ボーカロイド	5	0.2	ボーカロイド_キャラクター（その他）	ボーカロイドの派生キャラクター,ボーカロイドがくっぽいど,ボーカロイドユキ,ボーカロイドlily
126	ボーカロイド	6	0.2	ボーカロイド_初心者	ボーカロイドテル,ボーカロイド 初心者
127	年賀状	2	0.272727273	年賀状_書き方	年賀状一言,年賀状の書き方
127	年賀状	5	0.272727273	年賀状_印刷	年賀状印刷サイト,年賀状 印刷,年賀状ご注文方法
127	年賀状	6	0.272727273	年賀状_宝くじ	年賀状宝くじ
127	年賀状	3	0.181818182	年賀状_デザイン	年賀状 無料,年賀状無料デザイン,年賀状フリー,年賀状ソフトフリー,イラスト無料年賀状,年賀状桜屋うし
128	うつ病	1	0.230769231	うつ病_症状	うつ病 症状,うつ病病態,うつ病予後,うつ病 障害
128	うつ病	5	0.230769231	うつ病_接し方	うつ病の人への接し方
128	うつ病	6	0.230769231	うつ病_治療	うつ病は完治,うつ病の治し方,うつ病 治療
128	うつ病	2	0.153846154	うつ病_仕事	うつ病仕事探し
128	うつ病	4	0.153846154	うつ病_社会	社会におけるうつ病
129	サムスン	3	0.3	サムスン_株価	サムスン株価
129	サムスン	5	0.3	サムスン_アップル	アップルサムスン,サムスン 訴訟
129	サムスン	4	0.2	サムスン_サムスンジャパン	サムスンジャパン
129	サムスン	8	0.2	サムスン_流儀	サムスン流儀
130	タイ 特産	1	0.428571429	タイ 特産_お土産	タイ 特産タイ土産,タイ 特産みやげ,タイ 特産 お土産
130	タイ 特産	4	0.285714286	タイ 特産_南部	南部タイ 特産
130	タイ 特産	2	0.142857143	タイ 特産_政府公認５つ星	政府公認５つ星のタイ 特産
130	タイ 特産	3	0.142857143	タイ 特産_漬物	タイ 特産の漬物
131	浴槽	2	0.333333333	浴槽_カビ	浴槽 カビ
131	浴槽	1	0.222222222	浴槽_檜浴槽	檜浴槽
131	浴槽	8	0.222222222	浴槽_介護	浴槽 介護
131	浴槽	3	0.111111111	浴槽_大理石	inax人造大理石浴槽,浴槽大理石,toto人造大理石浴槽
131	浴槽	4	0.111111111	浴槽_簡易シャワー	浴槽簡易シャワー
132	ハンガーゲーム	2	0.214285714	ハンガーゲーム_レンタル	ハンガーゲーム レンタル
132	ハンガーゲーム	4	0.214285714	ハンガーゲーム_dvd	ハンガーゲーム DVD
132	ハンガーゲーム	5	0.214285714	ハンガーゲーム_感想	ハンガーゲーム評価,ハンガーゲーム感想
132	ハンガーゲーム	7	0.214285714	ハンガーゲーム_あらすじ	ハンガーゲームあらすじ,ハンガーゲーム作品情報
132	ハンガーゲーム	3	0.142857143	ハンガーゲーム_映画	ハンガーゲーム 映画,ハンガーゲーム イオン
133	結婚指輪	3	0.333333333	結婚指輪_オーダー	結婚指輪 オーダー
133	結婚指輪	1	0.222222222	結婚指輪_トルコ石	結婚指輪トルコ石
133	結婚指輪	5	0.222222222	結婚指輪_選ぶ	結婚指輪 相場,結婚指輪婚約指輪選び,結婚指輪素材,結婚指輪の石
133	結婚指輪	8	0.222222222	結婚指輪_安い	結婚指輪安い
134	サイエンティフィック・アメリカ	1	0.333333333	サイエンティフィック・アメリカ_購入	サイエンティフィック・アメリカン購入
134	サイエンティフィック・アメリカ	2	0.333333333	サイエンティフィック・アメリカ_科学雑誌	科学雑誌サイエンティフィック・アメリカン
134	サイエンティフィック・アメリカ	3	0.333333333	サイエンティフィック・アメリカ_日本語	サイエンティフィック・アメリカン日本語
