		fls					sls					
FRDC-S-C-1A	33	0.4549	0.7246	1	FRDC-S-C-1A	33	0	0	0	FRDC-S-C-1A	33	0
FRDC-S-C-2A	1	0.565	0.5773	0.6	FRDC-S-C-2A	1	0.5374	0.6194	0.7143	FRDC-S-C-2A	1	0.532539683
FRDC-S-C-2A	2	0.3508	0.397	0.4	FRDC-S-C-2A	2	0.0917	0.1887	0.2857	FRDC-S-C-2A	2	0.166666667
FRDC-S-C-2A	3	0.4618	0.531	0.6	FRDC-S-C-2A	3	0.2899	0.3647	0.4615	FRDC-S-C-2A	3	0.251666667
FRDC-S-C-2A	4	0.2323	0.3907	0.5	FRDC-S-C-2A	4	0.0451	0.0973	0.15	FRDC-S-C-2A	4	0.6
FRDC-S-C-2A	5	0.3416	0.374	0.4	FRDC-S-C-2A	5	0.3955	0.507	0.619	FRDC-S-C-2A	5	0.403333333
FRDC-S-C-2A	6	0.5003	0.5459	0.6	FRDC-S-C-2A	6	0.3315	0.3034	0.3	FRDC-S-C-2A	6	0.566666667
FRDC-S-C-2A	7	0.2438	0.3952	0.5	FRDC-S-C-2A	7	0.0439	0.0658	0.087	FRDC-S-C-2A	7	0.1
FRDC-S-C-2A	8	0.2369	0.3923	0.5	FRDC-S-C-2A	8	0.0503	0.2752	0.5	FRDC-S-C-2A	8	0.2
FRDC-S-C-2A	9	0.2349	0.2414	0.2	FRDC-S-C-2A	9	0.0427	0.0796	0.1154	FRDC-S-C-2A	9	0.3
FRDC-S-C-2A	10	0.3096	0.3871	0.5	FRDC-S-C-2A	10	0.2269	0.3351	0.4375	FRDC-S-C-2A	10	0.220238095
FRDC-S-C-2A	11	0.6295	0.6816	0.75	FRDC-S-C-2A	11	0.3143	0.408	0.5	FRDC-S-C-2A	11	0.155555556
FRDC-S-C-2A	12	0.2392	0.394	0.5	FRDC-S-C-2A	12	0.157	0.2768	0.4	FRDC-S-C-2A	12	0.2
FRDC-S-C-2A	13	0.3123	0.68	1	FRDC-S-C-2A	13	0.4893	0.7321	1	FRDC-S-C-2A	13	0.5
FRDC-S-C-2A	14	0.3765	0.6653	1	FRDC-S-C-2A	14	0.1698	0.2663	0.36	FRDC-S-C-2A	14	0.22
FRDC-S-C-2A	15	0.6879	0.8348	1	FRDC-S-C-2A	15	0.4531	0.4824	0.5294	FRDC-S-C-2A	15	0.155555556
FRDC-S-C-2A	16	0.7705	0.585	0.4	FRDC-S-C-2A	16	0.0532	0.1064	0.1591	FRDC-S-C-2A	16	0.025
FRDC-S-C-2A	17	0.2572	0.2548	0.2	FRDC-S-C-2A	17	0	0	0	FRDC-S-C-2A	17	0
FRDC-S-C-2A	18	0.2671	0.3281	0.3333	FRDC-S-C-2A	18	0	0	0	FRDC-S-C-2A	18	0.2
FRDC-S-C-2A	19	0.4022	0.4483	0.5	FRDC-S-C-2A	19	0.1279	0.2008	0.2941	FRDC-S-C-2A	19	0
FRDC-S-C-2A	20	0	0	0	FRDC-S-C-2A	20	0.1576	0.2279	0.3	FRDC-S-C-2A	20	0.7
FRDC-S-C-2A	21	0.0271	0.183	0.3333	FRDC-S-C-2A	21	0.0539	0.1077	0.16	FRDC-S-C-2A	21	0.4
FRDC-S-C-2A	22	0	0	0	FRDC-S-C-2A	22	0.1061	0.1082	0.1111	FRDC-S-C-2A	22	0.7
FRDC-S-C-2A	23	0.4938	0.7539	1	FRDC-S-C-2A	23	0.2506	0.2188	0.1875	FRDC-S-C-2A	23	0.8
FRDC-S-C-2A	24	0	0	0	FRDC-S-C-2A	24	0.0194	0.0243	0.0286	FRDC-S-C-2A	24	0.1
FRDC-S-C-2A	25	0.3693	0.3217	0.2	FRDC-S-C-2A	25	0.2133	0.2435	0.2727	FRDC-S-C-2A	25	0.6
FRDC-S-C-2A	26	0.2265	0.2372	0.2	FRDC-S-C-2A	26	0.0383	0.0666	0.1	FRDC-S-C-2A	26	0.2
FRDC-S-C-2A	27	0.3893	0.5192	0.6667	FRDC-S-C-2A	27	0.6277	0.7036	0.8	FRDC-S-C-2A	27	0.7
FRDC-S-C-2A	28	0.2098	0.3768	0.5	FRDC-S-C-2A	28	0.0986	0.1033	0.1111	FRDC-S-C-2A	28	0.4
FRDC-S-C-2A	29	0.2605	0.3237	0.3333	FRDC-S-C-2A	29	0.0645	0.1116	0.16	FRDC-S-C-2A	29	0.4
FRDC-S-C-2A	30	0.219	0.2975	0.3333	FRDC-S-C-2A	30	0.0167	0.0286	0.04	FRDC-S-C-2A	30	0.1
FRDC-S-C-2A	31	0.2191	0.2986	0.3333	FRDC-S-C-2A	31	0.1622	0.2248	0.2857	FRDC-S-C-2A	31	0.6
FRDC-S-C-2A	32	0.3301	0.3886	0.5	FRDC-S-C-2A	32	0.3517	0.3787	0.4231	FRDC-S-C-2A	32	0.25
FRDC-S-C-2A	33	0.2275	0.6377	1	FRDC-S-C-2A	33	0	0	0	FRDC-S-C-2A	33	0
FRDC-S-C-3A	1	0.6945	0.7436	0.8	FRDC-S-C-3A	1	0.3842	0.4708	0.5714	FRDC-S-C-3A	1	0.39
FRDC-S-C-3A	2	0.5964	0.464	0.4	FRDC-S-C-3A	2	0.2805	0.3614	0.4286	FRDC-S-C-3A	2	0.3
FRDC-S-C-3A	3	0.5706	0.6883	0.8	FRDC-S-C-3A	3	0.4914	0.4252	0.3846	FRDC-S-C-3A	3	0.383333333
FRDC-S-C-3A	4	0.4646	0.4795	0.5	FRDC-S-C-3A	4	0.1605	0.1412	0.125	FRDC-S-C-3A	4	0.45
FRDC-S-C-3A	5	0.7974	0.6968	0.6	FRDC-S-C-3A	5	0.4903	0.3763	0.2857	FRDC-S-C-3A	5	0.226666667
FRDC-S-C-3A	6	0.6159	0.5168	0.4	FRDC-S-C-3A	6	0.346	0.3373	0.35	FRDC-S-C-3A	6	0.475
FRDC-S-C-3A	7	0.865	0.934	1	FRDC-S-C-3A	7	0.1708	0.2389	0.3043	FRDC-S-C-3A	7	0.06
FRDC-S-C-3A	8	0.4804	0.7384	1	FRDC-S-C-3A	8	0.361	0.415	0.5	FRDC-S-C-3A	8	0.08
FRDC-S-C-3A	9	0.6449	0.6501	0.6	FRDC-S-C-3A	9	0.2612	0.3221	0.3846	FRDC-S-C-3A	9	0.26
FRDC-S-C-3A	10	0.8073	0.7687	0.75	FRDC-S-C-3A	10	0.2359	0.375	0.5	FRDC-S-C-3A	10	0.321428571
FRDC-S-C-3A	11	0.5233	0.6543	0.75	FRDC-S-C-3A	11	0.2384	0.1709	0.125	FRDC-S-C-3A	11	0.353333333
FRDC-S-C-3A	12	0.8648	0.9271	1	FRDC-S-C-3A	12	0.3217	0.3495	0.4	FRDC-S-C-3A	12	0.16
FRDC-S-C-3A	13	0.609	0.8304	1	FRDC-S-C-3A	13	0.6194	0.8014	1	FRDC-S-C-3A	13	0.413333333
FRDC-S-C-3A	14	0.5112	0.7701	1	FRDC-S-C-3A	14	0.4138	0.3726	0.36	FRDC-S-C-3A	14	0.4
FRDC-S-C-3A	15	0.7874	0.8815	1	FRDC-S-C-3A	15	0.5375	0.5539	0.5882	FRDC-S-C-3A	15	0.345
FRDC-S-C-3A	16	0.9146	0.7621	0.6	FRDC-S-C-3A	16	0.1215	0.1672	0.2045	FRDC-S-C-3A	16	0.273333333
FRDC-S-C-3A	17	0.9674	0.6813	0.4	FRDC-S-C-3A	17	0.1538	0.229	0.3	FRDC-S-C-3A	17	0
FRDC-S-C-3A	18	0.7336	0.6927	0.6667	FRDC-S-C-3A	18	0.1754	0.2172	0.25	FRDC-S-C-3A	18	0.266666667
FRDC-S-C-3A	19	0.7629	0.8784	1	FRDC-S-C-3A	19	0.387	0.268	0.1765	FRDC-S-C-3A	19	0.28
FRDC-S-C-3A	20	0.746	0.6774	0.6	FRDC-S-C-3A	20	0.4344	0.5024	0.55	FRDC-S-C-3A	20	0.454285714
FRDC-S-C-3A	21	0.5209	0.5893	0.6667	FRDC-S-C-3A	21	0.1022	0.1535	0.2	FRDC-S-C-3A	21	0.133333333
FRDC-S-C-3A	22	0.5239	0.6194	0.75	FRDC-S-C-3A	22	0.3368	0.2683	0.2222	FRDC-S-C-3A	22	0.18
FRDC-S-C-3A	23	0.7993	0.901	1	FRDC-S-C-3A	23	0.3988	0.3098	0.25	FRDC-S-C-3A	23	0.12
FRDC-S-C-3A	24	0.8225	0.7455	0.6667	FRDC-S-C-3A	24	0.0418	0.0789	0.1143	FRDC-S-C-3A	24	0.04
FRDC-S-C-3A	25	0.3693	0.3217	0.2	FRDC-S-C-3A	25	0.2899	0.4063	0.5455	FRDC-S-C-3A	25	0.8
FRDC-S-C-3A	26	0.5057	0.4491	0.4	FRDC-S-C-3A	26	0.3244	0.4278	0.55	FRDC-S-C-3A	26	0.566666667
FRDC-S-C-3A	27	0.7291	0.7037	0.6667	FRDC-S-C-3A	27	0.6831	0.6472	0.6	FRDC-S-C-3A	27	0.538333333
FRDC-S-C-3A	28	0.7724	0.8836	1	FRDC-S-C-3A	28	0.3251	0.2911	0.2593	FRDC-S-C-3A	28	0.246666667
FRDC-S-C-3A	29	0.9882	0.9947	1	FRDC-S-C-3A	29	0.1428	0.1779	0.24	FRDC-S-C-3A	29	0.068571429
FRDC-S-C-3A	30	0.6857	0.502	0.3333	FRDC-S-C-3A	30	0.2691	0.2414	0.24	FRDC-S-C-3A	30	0.175
FRDC-S-C-3A	31	0.5951	0.6224	0.6667	FRDC-S-C-3A	31	0.3076	0.3617	0.4286	FRDC-S-C-3A	31	0.6
FRDC-S-C-3A	32	0.5447	0.3925	0.25	FRDC-S-C-3A	32	0.2285	0.1461	0.0769	FRDC-S-C-3A	32	0.2
FRDC-S-C-3A	33	0.4549	0.7246	1	FRDC-S-C-3A	33	0	0	0	FRDC-S-C-3A	33	0
FRDC-S-C-4A	1	0.565	0.5773	0.6	FRDC-S-C-4A	1	0.4455	0.4993	0.5714	FRDC-S-C-4A	1	0.634285714
FRDC-S-C-4A	2	0.4755	0.5431	0.6	FRDC-S-C-4A	2	0.125	0.2392	0.3571	FRDC-S-C-4A	2	0.516666667
FRDC-S-C-4A	3	0.4209	0.4029	0.4	FRDC-S-C-4A	3	0.3622	0.3973	0.4615	FRDC-S-C-4A	3	0.616666667
FRDC-S-C-4A	4	0.2323	0.3907	0.5	FRDC-S-C-4A	4	0.107	0.1345	0.175	FRDC-S-C-4A	4	0.9
FRDC-S-C-4A	5	0.4165	0.4265	0.4	FRDC-S-C-4A	5	0.3631	0.4638	0.5714	FRDC-S-C-4A	5	0.78125
FRDC-S-C-4A	6	0.3546	0.376	0.4	FRDC-S-C-4A	6	0.329	0.3022	0.3	FRDC-S-C-4A	6	0.85
FRDC-S-C-4A	7	0.2438	0.3952	0.5	FRDC-S-C-4A	7	0.0958	0.0915	0.087	FRDC-S-C-4A	7	0.2
FRDC-S-C-4A	8	0.2369	0.3923	0.5	FRDC-S-C-4A	8	0.1043	0.3038	0.5	FRDC-S-C-4A	8	0.222222222
FRDC-S-C-4A	9	0.2349	0.2414	0.2	FRDC-S-C-4A	9	0.1181	0.1923	0.2692	FRDC-S-C-4A	9	0.2
FRDC-S-C-4A	10	0.4731	0.6397	0.75	FRDC-S-C-4A	10	0.3238	0.352	0.375	FRDC-S-C-4A	10	0.5625
FRDC-S-C-4A	11	0.7101	0.7349	0.75	FRDC-S-C-4A	11	0.2697	0.3539	0.4375	FRDC-S-C-4A	11	0.35
FRDC-S-C-4A	12	0.2051	0.3734	0.5	FRDC-S-C-4A	12	0.2275	0.3759	0.5333	FRDC-S-C-4A	12	0.4
FRDC-S-C-4A	13	0.6034	0.802	1	FRDC-S-C-4A	13	0.5218	0.7483	1	FRDC-S-C-4A	13	0.541666667
FRDC-S-C-4A	14	0.1542	0.3265	0.5	FRDC-S-C-4A	14	0.151	0.2541	0.36	FRDC-S-C-4A	14	0.298333333
FRDC-S-C-4A	15	0.656	0.8212	1	FRDC-S-C-4A	15	0.3785	0.3824	0.4118	FRDC-S-C-4A	15	0.5
FRDC-S-C-4A	16	0.1786	0.208	0.2	FRDC-S-C-4A	16	0.096	0.1472	0.2045	FRDC-S-C-4A	16	0.6
FRDC-S-C-4A	17	0.2572	0.2548	0.2	FRDC-S-C-4A	17	0.1042	0.1243	0.15	FRDC-S-C-4A	17	0.5
FRDC-S-C-4A	18	0.2671	0.3281	0.3333	FRDC-S-C-4A	18	0.0364	0.1018	0.1667	FRDC-S-C-4A	18	0.4
FRDC-S-C-4A	19	0.2011	0.3715	0.5	FRDC-S-C-4A	19	0.2491	0.2694	0.2941	FRDC-S-C-4A	19	0
FRDC-S-C-4A	20	0	0	0	FRDC-S-C-4A	20	0.2045	0.2379	0.3	FRDC-S-C-4A	20	0.9
FRDC-S-C-4A	21	0.0271	0.183	0.3333	FRDC-S-C-4A	21	0.1758	0.2228	0.28	FRDC-S-C-4A	21	0.8
FRDC-S-C-4A	22	0	0	0	FRDC-S-C-4A	22	0.2552	0.1953	0.1667	FRDC-S-C-4A	22	1
FRDC-S-C-4A	23	0.4938	0.7319	1	FRDC-S-C-4A	23	0.3634	0.3357	0.3125	FRDC-S-C-4A	23	0.8
FRDC-S-C-4A	24	0	0	0	FRDC-S-C-4A	24	0.1805	0.1774	0.2	FRDC-S-C-4A	24	0.7
FRDC-S-C-4A	25	0.3693	0.3217	0.2	FRDC-S-C-4A	25	0.3304	0.2864	0.2727	FRDC-S-C-4A	25	0.9
FRDC-S-C-4A	26	0.2265	0.2372	0.2	FRDC-S-C-4A	26	0.1121	0.1436	0.2	FRDC-S-C-4A	26	0.3
FRDC-S-C-4A	27	0.4335	0.7089	1	FRDC-S-C-4A	27	0.4427	0.4069	0.4	FRDC-S-C-4A	27	0.666666667
FRDC-S-C-4A	28	0.2098	0.3768	0.5	FRDC-S-C-4A	28	0.1144	0.1269	0.1481	FRDC-S-C-4A	28	0.5
FRDC-S-C-4A	29	0.2605	0.3237	0.3333	FRDC-S-C-4A	29	0.2369	0.2488	0.28	FRDC-S-C-4A	29	0.8
FRDC-S-C-4A	30	0.219	0.2975	0.3333	FRDC-S-C-4A	30	0.1459	0.174	0.2	FRDC-S-C-4A	30	0.5
FRDC-S-C-4A	31	0.2191	0.2986	0.3333	FRDC-S-C-4A	31	0.1578	0.2568	0.3571	FRDC-S-C-4A	31	0.6
FRDC-S-C-4A	32	0.3373	0.3884	0.5	FRDC-S-C-4A	32	0.4228	0.4151	0.4231	FRDC-S-C-4A	32	0.4
FRDC-S-C-4A	33	0.2275	0.6377	1	FRDC-S-C-4A	33	0	0	0	FRDC-S-C-4A	33	0
FRDC-S-C-5A	1	0.565	0.5773	0.6	FRDC-S-C-5A	1	0.495	0.4896	0.5	FRDC-S-C-5A	1	0.59
FRDC-S-C-5A	2	0.415	0.5309	0.6	FRDC-S-C-5A	2	0.2677	0.3748	0.5	FRDC-S-C-5A	2	0.4375
FRDC-S-C-5A	3	0.6824	0.641	0.6	FRDC-S-C-5A	3	0.4783	0.4949	0.5385	FRDC-S-C-5A	3	0.302222222
FRDC-S-C-5A	4	0.2323	0.3907	0.5	FRDC-S-C-5A	4	0.2233	0.1797	0.15	FRDC-S-C-5A	4	0.9
FRDC-S-C-5A	5	0.3994	0.519	0.6	FRDC-S-C-5A	5	0.3731	0.4969	0.619	FRDC-S-C-5A	5	0.866666667
FRDC-S-C-5A	6	0.3546	0.376	0.4	FRDC-S-C-5A	6	0.3935	0.361	0.35	FRDC-S-C-5A	6	0.775
FRDC-S-C-5A	7	0.2438	0.3952	0.5	FRDC-S-C-5A	7	0.0774	0.1695	0.2609	FRDC-S-C-5A	7	0.3
FRDC-S-C-5A	8	0.2369	0.3923	0.5	FRDC-S-C-5A	8	0.2372	0.3629	0.5	FRDC-S-C-5A	8	0
FRDC-S-C-5A	9	0.5359	0.4558	0.4	FRDC-S-C-5A	9	0.2447	0.3349	0.4231	FRDC-S-C-5A	9	0.616666667
FRDC-S-C-5A	10	0.3808	0.4667	0.5	FRDC-S-C-5A	10	0.4836	0.5111	0.5625	FRDC-S-C-5A	10	0.247222222
FRDC-S-C-5A	11	0.5638	0.6528	0.75	FRDC-S-C-5A	11	0.416	0.4157	0.4375	FRDC-S-C-5A	11	0.378571429
FRDC-S-C-5A	12	0.4272	0.4653	0.5	FRDC-S-C-5A	12	0.3344	0.3843	0.4667	FRDC-S-C-5A	12	0.6
FRDC-S-C-5A	13	0.3569	0.5509	0.75	FRDC-S-C-5A	13	0.4518	0.7129	1	FRDC-S-C-5A	13	0.322222222
FRDC-S-C-5A	14	0.268	0.5007	0.75	FRDC-S-C-5A	14	0.1729	0.2833	0.4	FRDC-S-C-5A	14	0.327777778
FRDC-S-C-5A	15	0.6751	0.6696	0.6667	FRDC-S-C-5A	15	0.5282	0.4897	0.4706	FRDC-S-C-5A	15	0.38
FRDC-S-C-5A	16	0.427	0.4215	0.4	FRDC-S-C-5A	16	0.2615	0.2903	0.3182	FRDC-S-C-5A	16	0.283333333
FRDC-S-C-5A	17	0.2572	0.2548	0.2	FRDC-S-C-5A	17	0.1987	0.221	0.25	FRDC-S-C-5A	17	0.8
FRDC-S-C-5A	18	0.2671	0.3281	0.3333	FRDC-S-C-5A	18	0.0756	0.1209	0.1667	FRDC-S-C-5A	18	0.5
FRDC-S-C-5A	19	0.2011	0.3715	0.5	FRDC-S-C-5A	19	0.349	0.2782	0.2353	FRDC-S-C-5A	19	0
FRDC-S-C-5A	20	0	0	0	FRDC-S-C-5A	20	0.2101	0.2262	0.25	FRDC-S-C-5A	20	0.6
FRDC-S-C-5A	21	0.0271	0.183	0.3333	FRDC-S-C-5A	21	0.185	0.1644	0.16	FRDC-S-C-5A	21	0.8
FRDC-S-C-5A	22	0	0	0	FRDC-S-C-5A	22	0.2573	0.2657	0.2778	FRDC-S-C-5A	22	1
FRDC-S-C-5A	23	0.5917	0.8006	1	FRDC-S-C-5A	23	0.4578	0.3421	0.25	FRDC-S-C-5A	23	1
FRDC-S-C-5A	24	0	0	0	FRDC-S-C-5A	24	0.1513	0.1511	0.1714	FRDC-S-C-5A	24	0.5
FRDC-S-C-5A	25	0.3693	0.3217	0.2	FRDC-S-C-5A	25	0.3423	0.3838	0.4545	FRDC-S-C-5A	25	1
FRDC-S-C-5A	26	0.2265	0.2372	0.2	FRDC-S-C-5A	26	0.2454	0.1866	0.15	FRDC-S-C-5A	26	0.7
FRDC-S-C-5A	27	0.4979	0.7424	1	FRDC-S-C-5A	27	0.4805	0.4265	0.4	FRDC-S-C-5A	27	0.75
FRDC-S-C-5A	28	0.2098	0.3768	0.5	FRDC-S-C-5A	28	0.1412	0.1434	0.1481	FRDC-S-C-5A	28	0.6
FRDC-S-C-5A	29	0.2605	0.3237	0.3333	FRDC-S-C-5A	29	0.1404	0.1627	0.2	FRDC-S-C-5A	29	0.8
FRDC-S-C-5A	30	0.219	0.2975	0.3333	FRDC-S-C-5A	30	0.1628	0.1925	0.24	FRDC-S-C-5A	30	0.7
FRDC-S-C-5A	31	0.2191	0.2986	0.3333	FRDC-S-C-5A	31	0.278	0.2822	0.2857	FRDC-S-C-5A	31	0.6
FRDC-S-C-5A	32	0.1518	0.183	0.25	FRDC-S-C-5A	32	0.4289	0.4169	0.4231	FRDC-S-C-5A	32	0.066666667
FRDC-S-C-5A	33	0.2275	0.6377	1	FRDC-S-C-5A	33	0.0259	0.0443	0.0625	FRDC-S-C-5A	33	0
KLE-S-C-1A	1	0.5679	0.5872	0.6	KLE-S-C-1A	1	0.7199	0.7509	0.7857	KLE-S-C-1A	1	0.286666667
KLE-S-C-1A	2	0.4612	0.3093	0.2	KLE-S-C-1A	2	0.4655	0.5641	0.6429	KLE-S-C-1A	2	0.663333333
KLE-S-C-1A	3	0.279	0.2566	0.2	KLE-S-C-1A	3	0.6695	0.5955	0.5385	KLE-S-C-1A	3	0.24
KLE-S-C-1A	4	0.5418	0.7719	1	KLE-S-C-1A	4	0.5255	0.6072	0.7	KLE-S-C-1A	4	0.584444444
KLE-S-C-1A	5	0.71	0.4454	0.2	KLE-S-C-1A	5	0.7546	0.5411	0.3333	KLE-S-C-1A	5	0.613333333
KLE-S-C-1A	6	0.5511	0.5754	0.6	KLE-S-C-1A	6	0.6774	0.5615	0.45	KLE-S-C-1A	6	0.746666667
KLE-S-C-1A	7	0.6465	0.8197	1	KLE-S-C-1A	7	0.8658	0.629	0.3913	KLE-S-C-1A	7	0.18
KLE-S-C-1A	8	0.5662	0.7964	1	KLE-S-C-1A	8	0.7067	0.5952	0.5	KLE-S-C-1A	8	0.045
KLE-S-C-1A	9	0.3356	0.2647	0.2	KLE-S-C-1A	9	0.432	0.5077	0.5769	KLE-S-C-1A	9	0.275
KLE-S-C-1A	10	0.4634	0.4914	0.5	KLE-S-C-1A	10	0.6325	0.5612	0.5	KLE-S-C-1A	10	0.353333333
KLE-S-C-1A	11	0.6295	0.5595	0.5	KLE-S-C-1A	11	0.5769	0.7669	0.9375	KLE-S-C-1A	11	0.336666667
KLE-S-C-1A	12	0.7847	0.9059	1	KLE-S-C-1A	12	0.728	0.7911	0.8667	KLE-S-C-1A	12	0.62
KLE-S-C-1A	13	0.6189	0.799	1	KLE-S-C-1A	13	0.9828	0.991	1	KLE-S-C-1A	13	0.5
KLE-S-C-1A	14	0.5127	0.5004	0.5	KLE-S-C-1A	14	0.6805	0.5564	0.44	KLE-S-C-1A	14	0.513333333
KLE-S-C-1A	15	0.4945	0.5851	0.6667	KLE-S-C-1A	15	0.6988	0.672	0.6471	KLE-S-C-1A	15	0.364444444
KLE-S-C-1A	16	0.3623	0.3981	0.4	KLE-S-C-1A	16	0.5603	0.5407	0.5227	KLE-S-C-1A	16	0.235
KLE-S-C-1A	17	0.6636	0.6284	0.6	KLE-S-C-1A	17	0.5937	0.7303	0.85	KLE-S-C-1A	17	0.658571429
KLE-S-C-1A	18	0.6598	0.8297	1	KLE-S-C-1A	18	0.6766	0.667	0.6667	KLE-S-C-1A	18	0.573333333
KLE-S-C-1A	19	0.5144	0.506	0.5	KLE-S-C-1A	19	0.7811	0.6544	0.5294	KLE-S-C-1A	19	0.43
KLE-S-C-1A	20	0.4732	0.437	0.4	KLE-S-C-1A	20	0.5986	0.6846	0.75	KLE-S-C-1A	20	0.331111111
KLE-S-C-1A	21	0.1772	0.4021	0.6667	KLE-S-C-1A	21	0.6482	0.5624	0.48	KLE-S-C-1A	21	0.412777778
KLE-S-C-1A	22	0.3545	0.4272	0.5	KLE-S-C-1A	22	0.644	0.6381	0.6111	KLE-S-C-1A	22	0.66
KLE-S-C-1A	23	0.6013	0.5605	0.5	KLE-S-C-1A	23	0.5835	0.6971	0.8125	KLE-S-C-1A	23	0.86
KLE-S-C-1A	24	0.6159	0.4756	0.3333	KLE-S-C-1A	24	0.4262	0.4334	0.4286	KLE-S-C-1A	24	0.835
KLE-S-C-1A	25	0.6855	0.5405	0.4	KLE-S-C-1A	25	0.6969	0.7081	0.7273	KLE-S-C-1A	25	0.56
KLE-S-C-1A	26	0.5604	0.6744	0.8	KLE-S-C-1A	26	0.6736	0.634	0.6	KLE-S-C-1A	26	0.785
KLE-S-C-1A	27	0.716	0.5072	0.3333	KLE-S-C-1A	27	0.864	0.7284	0.6	KLE-S-C-1A	27	0.915
